ID,PO_/_SO_#,ASN/DN_#,Country,Fulfill_Via,Vendor_INCO_Term,Shipment_Mode,Sub_Classification,Item_Description,Unit_of_Measure_(Per_Pack),Line_Item_Quantity,Line_Item_Value,Pack_Price,Unit_Price,First_Line_Designation,Weight_(Kilograms),Freight_Cost_(USD),Line_Item_Insurance_(USD),Days_to_Process
138,SCMS,ASN,Tanzania,Direct Drop,EXW,Air,HIV test,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests",25,10000,200000.0,20.0,0.8,Yes,3335.0,27869.74,320.0,-446
139,SCMS,ASN,Tanzania,Direct Drop,EXW,Air,HIV test,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests",25,10000,200000.0,20.0,0.8,Yes,3335.0,28461.1,320.0,-409
140,SCMS,ASN,Tanzania,Direct Drop,EXW,Air,HIV test,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests",25,10000,200000.0,20.0,0.8,Yes,3335.0,28359.8,320.0,-409
161,SCMS,ASN,Ethiopia,Direct Drop,EXW,Air,Adult,"Stavudine 30mg, capsules, 60 Caps",60,64000,99200.0,1.55,0.03,Yes,4228.0,12237.61,158.72,-411
176,SCMS,ASN,Nigeria,Direct Drop,EXW,Air,HIV test,"HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",20,10000,270000.0,27.0,1.35,Yes,3263.0,20885.78,432.0,-459
262,SCMS,ASN,South Africa,Direct Drop,DDP,,Pediatric,"Zidovudine 10mg/ml [Retrovir], oral solution, Bottle, 200 ml",200,40,317.6,7.94,0.04,Yes,,0.0,0.51,-341
269,SCMS,ASN,Vietnam,Direct Drop,EXW,Air,Adult,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",30,1000,17000.0,17.0,0.57,Yes,76.0,2282.57,27.2,-349
270,SCMS,ASN,Vietnam,Direct Drop,EXW,Air,Adult,"Zidovudine 300mg, tablets, 60 Tabs",60,400,3352.0,8.38,0.14,Yes,23.0,2149.05,5.36,-349
284,SCMS,ASN,Rwanda,Direct Drop,EXW,Air,HIV test - Ancillary,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",100,1500,15.0,0.01,0.0,Yes,99.0,0.75,0.02,-339
305,SCMS,ASN,Nigeria,Direct Drop,EXW,Air,HIV test - Ancillary,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",100,650,6.5,0.01,0.0,Yes,,0.0,0.01,-334
343,SCMS,ASN,South Africa,Direct Drop,DDP,,Pediatric,"Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml",200,200,340.0,1.7,0.01,Yes,,0.0,0.54,-366
361,SCMS,ASN,Haiti,Direct Drop,EXW,Air,HIV test,"HIV 1/2, Capillus HIV Kit, 100 Tests",100,2,278.0,139.0,1.39,Yes,,0.0,0.44,-321
391,SCMS,ASN,Côte d'Ivoire,Direct Drop,EXW,Air,HIV test,"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests",40,476,36176.0,76.0,1.9,Yes,509.0,5446.51,57.88,-201
392,SCMS,ASN,Côte d'Ivoire,Direct Drop,EXW,Air,HIV test,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests",25,659,13180.0,20.0,0.8,Yes,206.0,2656.12,25.83,74
398,SCMS,ASN,Guyana,Direct Drop,EXW,Air,HIV test - Ancillary,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",100,240,2.4,0.01,0.0,Yes,,0.0,0.0,-278
399,SCMS,ASN,Guyana,Direct Drop,EXW,Air,HIV test - Ancillary,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",100,213,2.13,0.01,0.0,Yes,14.0,360.0,0.0,-160
400,SCMS,ASN,Ethiopia,Direct Drop,DDP,,HIV test,"HIV 1/2, Capillus HIV Kit, 100 Tests",100,63,13399.25,212.69,2.13,Yes,,0.0,21.44,-299
410,SCMS,ASN,Zimbabwe,Direct Drop,EXW,Air,HIV test,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",100,1634,117631.66,71.99,0.72,Yes,373.0,4112.46,188.21,-48
411,SCMS,ASN,Nigeria,Direct Drop,EXW,Air,HIV test,"HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",20,1425,38475.0,27.0,1.35,Yes,483.0,5468.88,61.56,-262
414,SCMS,ASN,Namibia,Direct Drop,EXW,Air,HIV test,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",100,142,10222.58,71.99,0.72,Yes,33.0,1715.17,16.36,-214
420,SCMS,ASN,Vietnam,Direct Drop,EXW,Air,Adult,"Efavirenz 600mg, tablets, 30 Tabs",30,8400,96432.0,11.48,0.38,Yes,654.0,4051.34,154.29,-215
422,SCMS,ASN,South Africa,Direct Drop,DDP,Truck,Adult,"Saquinavir 200mg [Invirase], capsules, 270 Caps",270,6,405.06,67.51,0.25,Yes,,0.0,0.65,-255
423,SCMS,ASN,South Africa,Direct Drop,DDP,Truck,Pediatric,"Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml",200,600,870.0,1.45,0.01,No,,0.0,1.39,-255
438,SCMS,ASN,Vietnam,Direct Drop,others,Air,Pediatric,"Didanosine 25mg [Videx], chewable tablets, 60 Tabs",60,400,2800.0,7.0,0.12,Yes,81.0,2211.05,4.48,-176
459,SCMS,ASN,South Africa,Direct Drop,DDP,,Pediatric,"Didanosine 25mg [Videx], chewable tablets, 60 Tabs",60,6,77.1,12.85,0.21,Yes,,0.0,0.12,-272
464,SCMS,ASN,Nigeria,Direct Drop,EXW,Air,HIV test,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",100,5498,439785.02,79.99,0.8,Yes,1251.0,16090.22,703.66,-179
465,SCMS,ASN,Nigeria,Direct Drop,EXW,Air,HIV test - Ancillary,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",100,5498,54.98,0.01,0.0,Yes,,0.0,0.09,-184
466,SCMS,ASN,Ethiopia,Direct Drop,DDP,Air,HIV test,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",20,15,691.42,46.09,2.3,Yes,,0.0,1.11,-240
530,SCMS,ASN,Vietnam,Direct Drop,EXW,Air,Adult,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",30,1344,18359.04,13.66,0.46,Yes,1537.0,13507.92,29.37,-107
531,SCMS,ASN,South Africa,Direct Drop,DDP,Truck,Adult,"Stavudine 20mg [Zerit], capsules, 60 Caps",60,20,103.4,5.17,0.09,Yes,,0.0,0.2,-137
532,SCMS,ASN,South Africa,Direct Drop,DDP,Truck,Adult,"Didanosine EC 250mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",30,100,1906.0,19.06,0.64,Yes,,0.0,3.05,-241
533,SCMS,ASN,South Africa,Direct Drop,DDP,Truck,Pediatric,"Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml",200,670,1025.1,1.53,0.01,No,,0.0,1.64,-241
535,SCMS,ASN,Tanzania,Direct Drop,others,Air,Adult,"Didanosine EC 400mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",30,2597,61470.99,23.67,0.79,Yes,117.0,645.1,98.35,-124
543,SCMS,ASN,Haiti,Direct Drop,EXW,Air,HIV test,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests",100,28,9800.0,350.0,3.5,Yes,109.0,782.13,15.68,-96
551,SCMS,ASN,Haiti,Direct Drop,EXW,Air,HIV test,"HIV 1/2, Capillus HIV Kit, 100 Tests",100,84,11676.0,139.0,1.39,Yes,54.0,871.57,22.88,-41
598,SCMS,ASN,South Africa,Direct Drop,DDP,Truck,Adult,"Abacavir 300mg [Ziagen], tablets, Blister 6 x 10 Tabs",60,30,1049.4,34.98,0.58,Yes,,0.0,1.68,-209
610,SCMS,ASN,Vietnam,Direct Drop,EXW,Air,Adult,"Lamivudine 150mg, tablets, 60 Tabs",60,38640,92736.0,2.4,0.04,Yes,2719.0,18614.72,148.38,-107
630,SCMS,ASN,Nigeria,Direct Drop,EXW,Air,ACT,"Artemether/Lumefantrine 20/120mg [Coartem], scored tablets, Blister 30 x 18 Tabs",540,34,1547.68,45.52,0.08,Yes,115.0,1755.87,2.48,-117
637,SCMS,ASN,Vietnam,Direct Drop,EXW,Air,Adult,"Stavudine 30mg, capsules, 60 Caps",60,42000,60900.0,1.45,0.02,Yes,2600.0,10179.16,97.44,-88
646,SCMS,ASN,South Africa,Direct Drop,DDP,Truck,Pediatric,"Nevirapine 10mg/ml [Viramune], oral suspension, Bottle, 240 ml",240,50,696.5,13.93,0.06,Yes,,0.0,1.11,-180
660,SCMS,ASN,Vietnam,Direct Drop,EXW,Air,Adult,"Efavirenz 600mg, tablets, 30 Tabs",30,16800,171192.0,10.19,0.34,Yes,1224.0,4686.88,335.54,-38
668,SCMS,ASN,Guyana,Direct Drop,others,Air,Malaria,"Malaria Paramax-3 Kit, 25 Tests",25,98,3675.0,37.5,1.5,Yes,34.0,180.0,5.88,-142
670,SCMS,ASN,Zambia,Direct Drop,EXW,Air,HIV test,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",100,4500,323955.0,71.99,0.72,Yes,1053.0,11062.05,634.95,-76
712,SCMS,ASN,Namibia,Direct Drop,EXW,Air,HIV test,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",20,10,320.0,32.0,1.6,Yes,,0.0,0.51,-108
717,SCMS,ASN,Côte d'Ivoire,Direct Drop,EXW,Air,HIV test,"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests",40,500,38000.0,76.0,1.9,Yes,562.0,11298.13,60.8,-94
719,SCMS,ASN,Côte d'Ivoire,Direct Drop,EXW,Air,ACT,"Artesunate+Amodiaquine 50+153mg, tablets, co-blister 6+6 Tabs",12,25000,9750.0,0.39,0.03,Yes,1708.0,12830.91,19.11,19
772,SCMS,ASN,Nigeria,Direct Drop,others,Air,Adult,"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg [Atripla], tablets, 30 Tabs",30,9,453.6,50.4,1.68,Yes,,0.0,0.89,94
791,SCMS,ASN,Namibia,Direct Drop,EXW,Air,HIV test,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",100,150,10798.5,71.99,0.72,Yes,46.0,2698.04,21.17,-67
796,SCMS,ASN,Botswana,Direct Drop,EXW,Air,HIV test - Ancillary,"#109436**HIV 1, Uni-Gold Recombigen HIV Control, Vial 2 x 0.5 ml",2,15,450.0,30.0,15.0,Yes,1.0,578.01,0.88,-37
797,SCMS,ASN,Zambia,Direct Drop,EXW,Air,HIV test,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests",25,319,6380.0,20.0,0.8,Yes,100.0,1122.24,12.5,19
835,SCMS,ASN,South Africa,Direct Drop,DDP,Truck,Adult,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",30,80,1830.4,22.88,0.76,Yes,,0.0,3.59,-87
836,SCMS,ASN,South Africa,Direct Drop,DDP,Truck,Adult,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",30,120,2745.6,22.88,0.76,Yes,,0.0,5.38,133
837,SCMS,ASN,South Africa,Direct Drop,DDP,Truck,Pediatric,"Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml",200,600,858.0,1.43,0.01,No,,0.0,1.68,-87
838,SCMS,ASN,South Africa,Direct Drop,DDP,Truck,Pediatric,"Didanosine 100mg [Videx],chewable tablets, 60 Tabs",60,7,91.35,13.05,0.22,No,,0.0,0.18,-87
839,SCMS,ASN,South Africa,Direct Drop,DDP,Truck,Pediatric,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",300,40,1375.6,34.39,0.11,No,,0.0,2.7,-87
849,SCMS,ASN,Guyana,Direct Drop,others,Air,Malaria,"Malaria Paramax-3 Kit, 25 Tests",25,108,4050.0,37.5,1.5,Yes,,0.0,7.94,33
858,SCMS,ASN,Tanzania,Direct Drop,others,Air,Adult,"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg [Atripla], tablets, 30 Tabs",30,50000,2520000.0,50.4,1.68,Yes,4093.0,9339.0,4939.2,107
914,SCMS,ASN,Côte d'Ivoire,Direct Drop,EXW,Air,Malaria,"Quinine 600mg/2ml (as dihydrochloride), injection, 2ml x 100 Ampules",100,140,2731.4,19.51,0.2,Yes,5209.0,25405.22,5.35,57
937,SCMS,ASN,Mozambique,Direct Drop,EXW,Air,HIV test,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",20,5700,182400.0,32.0,1.6,Yes,1906.0,23914.8,357.5,78
960,SCMS,ASN,Vietnam,Direct Drop,EXW,Air,Adult,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",60,5964,51350.04,8.61,0.14,Yes,3509.0,12835.2,100.65,96
961,SCMS,ASN,Vietnam,Direct Drop,EXW,Air,Adult,"Lamivudine 150mg, tablets, 60 Tabs",60,21000,50400.0,2.4,0.04,No,3562.0,,98.78,96
962,SCMS,ASN,Vietnam,Direct Drop,EXW,Air,Adult,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",60,10560,72864.0,6.9,0.12,Yes,924.0,4225.93,142.81,78
979,SCMS,ASN,Vietnam,Direct Drop,EXW,Air,Adult,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",60,2352,20250.72,8.61,0.14,Yes,211.0,892.5,39.69,71
985,SCMS,ASN,Tanzania,Direct Drop,FCA,Air,Pediatric,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",300,524,21536.4,41.1,0.14,Yes,644.0,6668.61,42.21,144
986,SCMS,ASN,Tanzania,Direct Drop,FCA,Air,Pediatric,"Lopinavir/Ritonavir 100/25mg [Aluvia], tablets, 60 Tabs",60,2094,21526.32,10.28,0.17,Yes,237.0,0.0,42.19,120
993,SCMS,ASN,Rwanda,Direct Drop,EXW,Air,HIV test,"HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit, 30 Tests",30,8249,185602.5,22.5,0.75,Yes,2800.0,12595.81,363.78,114
1037,SCMS,ASN,Nigeria,Direct Drop,others,Air,Adult,"Didanosine EC 400mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",30,200,4734.0,23.67,0.79,Yes,11.0,463.0,9.28,269
1046,SCMS,ASN,Haiti,Direct Drop,others,Air,Pediatric,"Didanosine 50mg [Videx], chewable tablets, 60 Tabs",60,80,760.0,9.5,0.16,Yes,43.0,260.0,1.49,86
1047,SCMS,ASN,Haiti,Direct Drop,others,Air,Pediatric,"Didanosine 2g [Videx], powder for oral solution 10mg/ml, reconstitute to 200 ml",200,32,402.88,12.59,0.06,No,3675.0,,0.79,86
1048,SCMS,ASN,Haiti,Direct Drop,FCA,Air,Pediatric,"Lopinavir/Ritonavir 100/25mg [Aluvia], tablets, 60 Tabs",60,46,472.88,10.28,0.17,Yes,10.0,893.22,0.93,101
1063,SCMS,ASN,South Africa,Direct Drop,DDP,Air,Adult,"Efavirenz 600mg, tablets, 30 Tabs",30,3025,47522.75,15.71,0.52,Yes,,0.0,93.14,-33
1065,SCMS,ASN,South Africa,Direct Drop,DDP,Air,Adult,"Efavirenz 600mg, tablets, 30 Tabs",30,3500,49840.0,14.24,0.47,Yes,,0.0,97.69,-32
1066,SCMS,ASN,South Africa,Direct Drop,DDP,Air,Pediatric,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",240,1008,3588.48,3.56,0.01,No,,0.0,7.03,-32
1067,SCMS,ASN,South Africa,Direct Drop,DDP,Air,Pediatric,"Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml",200,960,1152.0,1.2,0.01,Yes,,0.0,2.26,-12
1068,SCMS,ASN,South Africa,Direct Drop,DDP,Air,Pediatric,"Lamivudine 10mg/ml [Epivir], oral solution, Bottle, 240 ml",240,1800,10512.0,5.84,0.02,Yes,,0.0,20.6,-5
1070,SCMS,ASN,South Africa,Direct Drop,DDP,Air,Adult,"Stavudine 30mg, capsules, 60 Caps",60,1200,3384.0,2.82,0.05,Yes,,0.0,6.63,-44
1077,SCMS,ASN,South Africa,Direct Drop,DDP,Air,Pediatric,"Lamivudine 10mg/ml, oral solution, Bottle, 240 ml",240,346,1954.9,5.65,0.02,Yes,,0.0,3.83,107
1078,SCMS,ASN,South Africa,Direct Drop,DDP,Truck,Pediatric,"Efavirenz 50mg, capsule, 30 Caps",30,5300,16642.0,3.14,0.1,Yes,,0.0,32.62,152
1079,SCMS,ASN,South Africa,Direct Drop,DDP,Air,Pediatric,"Lamivudine 10mg/ml, oral solution, Bottle, 240 ml",240,342,1932.3,5.65,0.02,Yes,,0.0,3.79,164
1080,SCMS,ASN,South Africa,Direct Drop,DDP,Truck,Adult,"Stavudine 15mg [Zerit], capsules, 60 Caps",60,2700,10665.0,3.95,0.07,Yes,,0.0,20.9,227
1084,SCMS,ASN,South Africa,Direct Drop,DDP,Air,Adult,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",120,3735,134385.3,35.98,0.3,Yes,,0.0,263.4,100
1085,SCMS,ASN,South Africa,Direct Drop,DDP,Air,Adult,"Zidovudine 300mg [Retrovir], tablets, 60 Tabs",60,6000,80640.0,13.44,0.22,Yes,,0.0,158.05,115
1086,SCMS,ASN,South Africa,Direct Drop,DDP,Air,Adult,"Stavudine 30mg, capsules, 60 Caps",60,11672,35016.0,3.0,0.05,Yes,,0.0,68.63,106
1095,SCMS,ASN,Botswana,Direct Drop,EXW,Air,HIV test,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests",100,20,7000.0,350.0,3.5,Yes,48.0,1172.11,13.72,313
1109,SCMS,ASN,Côte d'Ivoire,Direct Drop,FCA,Air,Adult,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",120,10240,420864.0,41.1,0.34,Yes,2523.0,14806.48,824.89,177
1110,SCMS,ASN,Côte d'Ivoire,Direct Drop,FCA,Air,Adult,"Ritonavir 100mg [Norvir], capsules, cool, 4 x 84 Caps",336,400,15344.0,38.36,0.11,Yes,175.0,7642.97,30.07,199
1111,SCMS,ASN,South Africa,Direct Drop,DDP,Truck,Pediatric,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",300,30,1080.0,36.0,0.12,Yes,,0.0,2.12,107
1114,SCMS,ASN,South Africa,Direct Drop,DDP,Truck,Adult,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg [Truvada], tablets, 30 Tabs",30,80,2816.0,35.2,1.17,Yes,,0.0,5.52,103
1115,SCMS,ASN,South Africa,Direct Drop,DDP,Truck,Adult,"Zidovudine 300mg, tablets, 60 Tabs",60,1000,19770.0,19.77,0.33,Yes,,3134.85,38.75,109
1122,SCMS,ASN,Haiti,Direct Drop,EXW,Air,HIV test,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests",100,60,21000.0,350.0,3.5,Yes,144.0,3128.19,41.16,255
1134,SCMS,ASN,Kenya,Direct Drop,EXW,Air,HIV test,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",100,7500,600000.0,80.0,0.8,Yes,2215.0,16835.31,1176.0,187
1140,SCMS,ASN,Nigeria,Direct Drop,EXW,Air,HIV test,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",100,6395,511600.0,80.0,0.8,Yes,1915.0,24514.33,1002.74,226
1156,SCMS,ASN,Rwanda,Direct Drop,others,Air,Adult,"Efavirenz 600mg, tablets, 30 Tabs",30,55356,386384.88,6.98,0.23,Yes,4482.0,37404.74,757.31,202
1162,SCMS,ASN,Côte d'Ivoire,Direct Drop,EXW,Air,HIV test,"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests",40,1000,110000.0,110.0,2.75,Yes,1101.0,8074.03,215.6,254
1179,SCMS,ASN,Vietnam,Direct Drop,FCA,Air,Adult,"Ritonavir 100mg [Norvir], capsules, cool, 4 x 84 Caps",336,8,613.76,76.72,0.23,Yes,48.0,3366.04,1.2,194
1183,SCMS,ASN,Vietnam,Direct Drop,EXW,Air,Adult,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",60,3500,39025.0,11.15,0.19,Yes,1804.0,6341.88,76.49,187
1196,SCMS,ASN,Botswana,Direct Drop,EXW,Air,HIV test,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests",100,5,1750.0,350.0,3.5,Yes,12.0,684.42,3.43,187
1198,SCMS,ASN,Namibia,Direct Drop,EXW,Air,HIV test,"HIV 1/2, Clearview Complete Kit, 25 Tests",25,67,5025.0,75.0,3.0,Yes,48.0,401.97,9.85,240
1213,SCMS,ASN,Vietnam,Direct Drop,others,Air,Pediatric,"Didanosine 25mg [Videx], chewable tablets, 60 Tabs",60,400,2800.0,7.0,0.12,Yes,148.0,14.36,5.49,205
1215,SCMS,ASN,Namibia,Direct Drop,EXW,Air,HIV test,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",20,220,7040.0,32.0,1.6,Yes,79.0,1736.18,13.8,176
1221,SCMS,ASN,South Africa,Direct Drop,DDP,Truck,Adult,"Ritonavir 100mg [Norvir], capsules, cool, 84 Caps",84,50,490.0,9.8,0.12,Yes,,0.0,0.96,205
1222,SCMS,ASN,South Africa,Direct Drop,DDP,Truck,Adult,"Lamivudine 150mg, tablets, 60 Tabs",60,5000,41300.0,8.26,0.14,Yes,,0.0,80.95,213
1223,SCMS,ASN,South Africa,Direct Drop,DDP,Truck,Pediatric,"Lamivudine 10mg/ml [Epivir], oral solution, Bottle, 240 ml",240,460,2838.2,6.17,0.03,Yes,,0.0,5.56,205
